"artist","id","speechiness","liveness","energy","danceability","instrumentalness","loudness","tempo","song_title"
"Jamie xx",55,"0.187","0.504","0.596","0.532",0,"-9.912","119.296","I Know There's Gonna Be (Good Times)"
"Jamie xx",56,"0.0427","0.122","0.629","0.646","0.277","-10.775","109.013","Loud Places"
"A$AP Rocky",57,"0.0647","0.0992","0.252","0.598","0.138","-15.086","120.06","L$D"
"Vince Staples",58,"0.127","0.0622","0.442","0.754","9.40E-05","-8.873","148.04","Dopeman"
"Best Coast",59,"0.0378","0.272","0.786","0.294","0.865","-3.626","81.108","California Nights"
"Ariel Pink's Haunted Graffiti",60,"0.0331","0.0941","0.253","0.622","0.471","-14.36","92.584","Baby"
"Bobby ""Blue"" Bland",61,"0.0469","0.2","0.656","0.559","0.000171","-8.699","79.638","Ain't No Love In The Heart Of The City - Single Version"
"Yacht Club",62,"0.0406","0.667","0.945","0.54","0.753","-6.64","92.995","Fail to Cry"
"Portugal. The Man",63,"0.0572","0.174","0.7","0.793",0,"-6.641","140.058","Evil Friends (feat. Danny Brown) - Jake One Remix"
"Umit Aksu Orkestrasi",64,"0.0633","0.17","0.715","0.549","3.50E-06","-11.164","82.118","Ikimiz Bir Fidaniz - Baris K Edit"
"Sweet Valley",65,"0.0578","0.33","0.607","0.557","0.771","-10.088","73.061","Sentimental Trash"
"CHVRCHES",66,"0.03","0.335","0.444","0.597","0.051","-8.39","120.074","Get Away"
"Father",67,"0.0775","0.134","0.512","0.879","1.45E-05","-7.83","127.95","Look At Wrist"
"Caribou",68,"0.0433","0.104","0.497","0.726","0.89","-10.742","125.004","Our Love"
"Ezale",69,"0.0995","0.154","0.831","0.857",0,"-4.664","106.059","I Ain't Trippin off Nothin"
"Disciples",70,"0.0399","0.109","0.778","0.807","0.666","-5.485","120.001","They Don't Know - Original Mix"
"Amadou & Mariam",71,"0.03","0.331","0.639","0.596","0.569","-6.546","124.012","Sabali"
"Dusty Springfield",72,"0.0289","0.175","0.708","0.683","2.08E-05","-6.852","106.446","Spooky"
"Average White Band",73,"0.0427","0.0188","0.853","0.768","0.13","-5.915","107.234","Pick Up The Pieces"
"The Sonics",74,"0.105","0.0904","0.948","0.506",0,"-5.626","130.195","Have Love Will Travel"
"TR/ST",75,"0.0471","0.769","0.918","0.457","0.000215","-5.295","105.018","Capitol"
"Parquet Courts",76,"0.0278","0.0737","0.58","0.468","0.821","-8.131","76.27","Uncast Shadow Of A Southern Myth"
"Nina Simone",77,"0.0289","0.0519","0.447","0.537","1.86E-05","-8.261","84.362","I Shall Be Released - Remastered"
"How To Dress Well",78,"0.0351","0.598","0.217","0.515","0.463","-13.382","80.015","Words I Don't Remember"
"Twin Shadow",79,"0.0371","0.266","0.725","0.429","1.54E-05","-6.156","82.925","To The Top"
"Thundercat",80,"0.0588","0.116","0.58","0.791","0.00155","-8.377","81.678","Them Changes (feat. Flying Lotus & Kamasi Washington)"
"Falcons",81,"0.252","0.148","0.705","0.711",0,"-6.248","144.053","Aquafina (feat. GoldLink & Chaz French)"
"How Sad",82,"0.222","0.0533","0.824","0.683","0.627","-8.569","154.008","Hot Blur"
"Kool & The Gang",83,"0.0366","0.0742","0.325","0.309","0.854","-16.4","175.88","Summer Madness"
"James Brown",84,"0.237","0.749","0.733","0.867","0.000219","-7.54","97.835","The Payback"
"Fool's Gold",85,"0.0343","0.0771","0.734","0.619","0.263","-9.366","106.034","I'm In Love"
"Punkin Machine",86,"0.0571","0.0771","0.5","0.898","0.292","-11.089","122.281","I Need You Tonight"
"Ify Jerry Crusade",87,"0.076","0.376","0.745","0.589","0.000406","-8.109","99.407","Everybody Likes Something Good"
"Gnonnas Pédro",88,"0.0729","0.0527","0.668","0.606","1.65E-05","-9.168","158.859","Dadje Von O Von Non"
"D'Angelo",89,"0.262","0.0378","0.547","0.786","0.272","-11.416","92.603","Sugah Daddy"
"Swishahouse",90,"0.386","0.512","0.548","0.734",0,"-9.682","128.289","International Players Anthem"
"ILoveMakonnen",91,"0.0491","0.0929","0.676","0.812",0,"-4.502","114.047","Swerve"
"Father",92,"0.0645","0.14","0.606","0.876","1.06E-05","-5.471","127.975","Look At Wrist"
"Tame Impala",93,"0.0448","0.113","0.873","0.601","0.0365","-5.866","124.997","Let It Happen"
"Fetty Wap",94,"0.0531","0.147","0.741","0.748",0,"-3.103","128.077","My Way (feat. Monty)"
"Kwabs",95,"0.0677","0.218","0.814","0.615",0,"-3.903","144.005","Walk"
"The Clash",96,"0.0396","0.0338","0.789","0.799",0,"-8.208","116.081","The Magnificent Seven - Remastered"
"Tijuana Panthers",97,"0.0374","0.303","0.776","0.398","0.0172","-7.388","110.815","NOBO"
"Gayngs",98,"0.0475","0.0765","0.423","0.685","0.518","-9.031","138.034","The Gaudy Side of Town"
"Vic Mensa",99,"0.055","0.368","0.581","0.706",0,"-6.492","134.009","U Mad"
"Neon Indian",100,"0.059","0.487","0.98","0.63","0.00661","-4.914","108.009","Slumlord"
"CHVRCHES",101,"0.0844","0.178","0.736","0.57","5.74E-05","-5.822","99.86","Leave A Trace"
"Disclosure",102,"0.816","0.106","0.643","0.525",0,"-6.874","199.727","Willing & Able"
"Shy Glizzy",103,"0.105","0.0805","0.793","0.698",0,"-5.332","129.948","White Girl"
"ILoveMakonnen",104,"0.0533","0.772","0.773","0.763","0.032","-4.722","130.025","Maneuvering"
"The Ronettes",105,"0.042","0.0921","0.769","0.511",0,"-7.032","129.657","Be My Baby"
"The Ronettes",106,"0.0392","0.276","0.813","0.506","0.0293","-5.78","108.212","Why Don't They Let Us Fall in Love"
"The Shirelles",107,"0.0315","0.143","0.494","0.513","6.43E-05","-5.072","135.894","Will You Love Me Tomorrow"
"The Chiffons",108,"0.128","0.818","0.868","0.251","7.34E-06","-2.685","177.125","One Fine Day"
"The Chiffons",109,"0.0329","0.164","0.633","0.559",0,"-3.265","72.496","He's So Fine - 2000 Digital Remaster"
"The Crystals",110,"0.0365","0.199","0.678","0.431","6.37E-06","-7.945","135.919","Then He Kissed Me"
"Lesley Gore",111,"0.114","0.086","0.71","0.683",0,"-7.445","128.181","It's My Party"
"The Marvelettes",112,"0.0329","0.129","0.599","0.78",0,"-10.251","121.198","Please Mr. Postman"
"Bomba Estéreo",113,"0.143","0.36","0.907","0.614","0.000131","-2.536","122.906","Fiesta - Remix"
"Lady Leshurr",114,"0.548","0.136","0.531","0.661",0,"-10.113","93.287","Queen's Speech 4"
"Jamie xx",115,"0.155","0.536","0.594","0.564",0,"-9.912","89.394","I Know There's Gonna Be (Good Times)"
"Young Thug",116,"0.125","0.0881","0.597","0.751",0,"-6.59","123.997","With That (feat. Duke)"
"Drake",117,"0.0571","0.039","0.623","0.896","0.000258","-8.008","134.962","Hotline Bling"
"Fetty Wap",118,"0.318","0.625","0.717","0.618",0,"-5.738","190.05","679 (feat. Remy Boyz)"
"Fetty Wap",119,"0.128","0.354","0.873","0.746",0,"-3.803","148.075","Trap Queen"
"Rae Sremmurd",120,"0.154","0.0926","0.483","0.888","4.85E-06","-7.797","125.008","No Type"
"Bassnectar",121,"0.0515","0.122","0.645","0.443","0.952","-6.24","128.044","Chasing Heaven"
"Bassnectar",122,"0.188","0.222","0.934","0.507","0.0018","-2.325","175.954","Speakerbox (feat. Lafa Taylor)"
"Rick Ross",123,"0.193","0.302","0.912","0.695","0.000103","-3.331","160.043","Movin' Bass - GTA Remix"
"Brown Bird",124,"0.0916","0.0993","0.449","0.462","0.000632","-9.271","209.686","Danger and Dread"
"M83",125,"0.0356","0.179","0.712","0.526",0,"-6.525","105.009","Midnight City"
"Fela Kuti",126,"0.0569","0.0982","0.924","0.645","0.0266","-7.697","90.852","Water No Get Enemy - Edit"
"Frank Ocean",127,"0.0482","0.819","0.647","0.405","7.62E-05","-6.109","131.952","Pyramids"
"Hercules & Love Affair",128,"0.0284","0.168","0.641","0.735","0.89","-6.177","105.993","Hercules Theme"
"Kelela",129,"0.0482","0.12","0.416","0.746","7.77E-05","-6.607","132.036","Rewind"
"Big K.R.I.T.",130,"0.227","0.267","0.643","0.547",0,"-8.904","143.064","My Sub (Pt. 2: The Jackin') - Album Version (Edited)"
"Lil Wayne",131,"0.172","0.099","0.609","0.634",0,"-8.982","83.021","Kush"
"Willow",132,"0.193","0.113","0.488","0.607","0.000177","-8.704","77.021",9
"Disclosure",133,"0.171","0.101","0.647","0.704","1.93E-06","-7.874","92.002","Magnets"
"Phantogram",134,"0.0321","0.201","0.642","0.558","0.00746","-5.206","99.977","Don't Move"
"Brazilian Girls",135,"0.111","0.566","0.804","0.698","0.0599","-6.616","92.001","Pussy"
"The Cool Kids",136,"0.309","0.323","0.582","0.772","6.61E-05","-5.96","172.03","Black Mags"
"Three 6 Mafia",137,"0.0335","0.335","0.864","0.788",0,"-5.767","133.295","Stay Fly - Explicit Album Version"
"Three 6 Mafia",138,"0.108","0.0921","0.839","0.944",0,"-4.141","136.019","Sippin On Some Syrup"
"Three 6 Mafia",139,"0.144","0.536","0.795","0.729",0,"-4.579","146.747","Poppin' My Collar - feat. Project Pat - Explicit"
"Paul Wall",140,"0.306","0.199","0.621","0.721","0.0103","-4.378","159.967","Sittin' Sidewayz - feat. Big Pokey Explicit"
"The Cool Kids",141,"0.263","0.0271","0.751","0.798","3.22E-06","-6.335","162.003","Gold and a Pager"
"Riskay",142,"0.334","0.0996","0.387","0.851",0,"-13.584","116.629","Smell Yo D*ck"
"Ex Hex",143,"0.0387","0.138","0.805","0.34",0,"-3.397","167.922","Don't Wanna Lose"
"Baio",144,"0.0402","0.0935","0.891","0.767","0.0723","-6.426","122.026","Endless Rhythm"
"Shamir",145,"0.0536","0.0961","0.635","0.772","0.018","-8.412","168.039","Demon"
"Deerhunter",146,"0.0332","0.133","0.847","0.259","0.823","-6.298","150.162","Nothing Ever Happened"
"Run The Jewels",147,"0.327","0.308","0.77","0.633",0,"-6.954","149.97","Oh My Darling Don't Meow (Just Blaze Remix)"
"Ibeyi",148,"0.474","0.106","0.292","0.654","0.0031","-12.977","153.547","River"
"Hermitude",149,"0.23","0.122","0.583","0.726","0.00135","-6.434","140.943","The Buzz (feat. Mataya & Young Tapz)"
"Kanye West",150,"0.143","0.162","0.638","0.855",0,"-4.968","122.967","All Day"
"Future",151,"0.131","0.249","0.431","0.704","0.0972","-7.893","146.003","Blood On the Money"
"Leon Bridges",152,"0.0448","0.17","0.179","0.658",0,"-10.866","128.128","River"
"ILoveMakonnen",153,"0.0638","0.352","0.833","0.502","0.043","-4.982","142.053","Trust Me Danny"
"Drake",154,"0.271","0.25","0.676","0.79",0,"-6.432","132.002","Big Rings"
"Neon Indian",155,"0.0822","0.309","0.849","0.738","0.0317","-6.246","95.987","Annie"
"Frankey",156,"0.039","0.109","0.739","0.777","0.868","-9.089","119.992","Acamar"
"Kendrick Lamar",157,"0.235","0.0832","0.779","0.791",0,"-5.972","110.037","Alright"
"Drake",158,"0.2","0.341","0.41","0.735",0,"-8.735","114.812","Know Yourself"
"Crystal Castles",159,"0.0357","0.229","0.582","0.556","0.911","-10.65","131.023","Deicide"
"Leon Bridges",160,"0.0291","0.154","0.465","0.427","5.52E-05","-6.595","112.137","Coming Home"
"Hercules & Love Affair",161,"0.0372","0.142","0.81","0.563","2.71E-05","-9.158","99.996","Hercules Theme 2014"
"Majid Jordan",162,"0.223","0.0872","0.708","0.753","0.0123","-7.217","115.004","Forever"
"Poolside",163,"0.04","0.201","0.764","0.785","0.813","-5.245","93.984","Next to You"
"FKA twigs",164,"0.0862","0.196","0.608","0.557","0.0263","-7.657","109.67","Papi Pacify"
"Young & Sick",165,"0.031","0.0833","0.42","0.594","0.00452","-8.467","140.04","Magnolia"
"Feathers",166,"0.0458","0.0726","0.758","0.644","0.0708","-7.859","108.99","Dark Matter"
"Donnie Trumpet",167,"0.35","0.0888","0.657","0.704","0.000118","-7.172","150.058","Callie (feat. Vic Mensa)"
"Drake",168,"0.284","0.101","0.408","0.849",0,"-8.67","99.876","Wu-Tang Forever"
"David Bowie",169,"0.14","0.0906","0.568","0.628","0.0183","-10.695","191.404","Fame (2007 Remastered)"
"Wiz Khalifa",170,"0.054","0.321","0.862","0.717",0,"-4.736","130.021","We Dem Boyz"
"Autre Ne Veut",171,"0.0524","0.129","0.68","0.584","1.03E-06","-4.685","104.89","Ego Free Sex Free"
"Matthew Dear",172,"0.0548","0.353","0.806","0.586","0.000167","-9.542","110.325","Her Fantasy"
"Matthew Dear",173,"0.0439","0.35","0.85","0.648","0.294","-6.277","112.014","Little People (Black City)"
"Disclosure",174,"0.148","0.18","0.785","0.807","0.000763","-7.928","124.051","Confess To Me"
"Cut Copy",175,"0.0422","0.342","0.941","0.577","0.207","-4.338","99.995","Let Me Show You Love"
"Kanye West",176,"0.0898","0.0969","0.593","0.5","6.21E-06","-4.34","68.456","New Slaves"
"Chromeo",177,"0.0394","0.0528","0.708","0.804","0.0636","-5.099","141.996","Sexy Socialite"
"Holy Ghost!",178,"0.0324","0.13","0.658","0.787","0.0152","-5.379","110.983","Okay"
"Mikal Cronin",179,"0.0529","0.0825","0.784","0.246","5.71E-06","-5.004","153.027","Weight"
"Disclosure",180,"0.141","0.327","0.743","0.882","0.00152","-6.972","123.97","When A Fire Starts To Burn"
"Disclosure",181,"0.112","0.0999","0.824","0.628","0.543","-7.983","122.01","When A Fire Starts To Burn - Midland Remix"
"Arctic Monkeys",182,"0.0461","0.0394","0.79","0.451",0,"-4.261","127.142","Fake Tales Of San Francisco"
"Warpaint",183,"0.0286","0.0931","0.385","0.518","0.000536","-11.125","100.878","Billie Holiday"
"Duck Sauce",184,"0.216","0.873","0.901","0.774","4.84E-06","-5.398","128.024","Goody Two Shoes"
"HAIM",185,"0.137","0.0585","0.635","0.547","5.01E-06","-5.569","113.678","The Wire"
"Tycho",186,"0.0353","0.0746","0.878","0.552","0.892","-5.767","176.057","Awake"
"Jagwar Ma",187,"0.0505","0.386","0.946","0.542","5.38E-06","-6.307","108.496","Man I Need"
"Big Freedia",188,"0.127","0.623","0.94","0.695","0.8","-2.935","100.262","N.O. Bounce"
"CHVRCHES",189,"0.0524","0.0758","0.492","0.633","0.00047","-7.672","114.845","Now Is Not The Time"
"Lykke Li",190,"0.0305","0.13","0.445","0.312","0.0038","-7.202","97.967","No Rest For The Wicked"
"Flume",191,"0.119","0.128","0.436","0.43",0,"-4.816","90.053","Holdin On"
"The Districts",192,"0.111","0.241","0.908","0.19","0.0369","-4.679","148.951","Rocking Chair"
"Gold Panda",193,"0.229","0.363","0.907","0.312","0.618","-6.571","120.286","Marriage"
"Phosphorescent",194,"0.0328","0.15","0.582","0.539","0.0717","-7.414","95.07","Ride On / Right On"
"Atmosphere",195,"0.314","0.518","0.878","0.698","1.61E-05","-0.307","182.126","GodLovesUgly"
"Christopher Owens",196,"0.0318","0.279","0.818","0.476","0.757","-7.933","159.089","New York City"
"Woods",197,"0.0504","0.148","0.936","0.568","0.00099","-6.365","150.067","Moving to the Left"
"The Killers",198,"0.0448","0.129","0.74","0.558","8.97E-06","-6.22","118.293","All These Things That I've Done"
"The Kooks",199,"0.037","0.0299","0.894","0.604",0,-5,"145.014","Junk of the Heart (Happy)"
"Chromeo",200,"0.0375","0.315","0.921","0.718","0.0473","-3.978","121.922","When The Night Falls - feat. Solange Knowles"
"Kanye West",201,"0.362","0.153","0.545","0.737","9.32E-05","-8.536","140.086","Mercy"
"Spoon",202,"0.029","0.103","0.712","0.769","2.12E-06","-4.692","120.975","Don't You Evah"
"Arcade Fire",203,"0.0264","0.103","0.506","0.567","0.205","-8.742","116.392","We Exist"
"YACHT",204,"0.0399","0.0911","0.588","0.817","1.51E-06","-6.603","119.934","Le Goudron (Edit)"
"M.I.A.",205,"0.054","0.0288","0.912","0.767","0.402","-1.157","144.084","Double Bubble Trouble"
"Dusky",206,"0.0488","0.0455","0.895","0.77","0.897","-8.102","120.986","Careless"
"George McCrae",207,"0.0345","0.0726","0.77","0.712","0.548","-13.187","106.963","Look at You"
"ODESZA",208,"0.0299","0.407","0.577","0.706","0.692","-6.226","96.056","How Did I Get Here"
"Phantogram",209,"0.0354","0.0814","0.799","0.542","0.0161","-3.641","92.215","Black Out Days"
"Joe Cuba",210,"0.0661","0.298","0.776","0.583","3.81E-05","-5.293","126.536","Bang! Bang!"
"Hot Chocolate",211,"0.0291","0.133","0.548","0.727","0.526","-7.393","107.826","Every 1's A Winner - Single Version"
"Cathedrals",212,"0.0364","0.123","0.782","0.45","0.101","-6.769","173.954","Unbound"
"ASTR",213,"0.0435","0.0822","0.764","0.602","0.0053","-4.897","105.997","Operate"
"Kanye West",214,"0.189","0.101","0.681","0.415",0,"-4.104","171.893","Blood On The Leaves"
"Jagwar Ma",215,"0.028","0.166","0.838","0.614","0.000297","-6.896","127.971","Come Save Me"
"Migos",216,"0.283","0.0964","0.744","0.901","7.79E-06","-3.484","135.95","Hannah Montana"
"Cayucas",217,"0.0573","0.963","0.986","0.7","0.0221","-4.403","123.033","High School Lover"
"Shabazz Palaces",218,"0.409","0.602","0.843","0.583",0,"-7.416","108.066","They Come in Gold"
"Virgo",219,"0.0296","0.115","0.586","0.6","0.535","-9.414","129.952","Tides of Neptune"
"ZHU",220,"0.0537","0.142","0.706","0.786","0.213","-6.212","120.011","Cocaine Model"
"Future Islands",221,"0.0334","0.0998","0.821","0.512","0.33","-7.442","149.988","Light House"
"Musical Youth",222,"0.0831","0.61","0.664","0.791",0,"-5.713","149.939","Pass The Dutchie"
"How To Dress Well",223,"0.0342","0.449","0.213","0.533","0.565","-13.437","80.004","Words I Don't Remember"
"Prince",224,"0.0321","0.202","0.75","0.731","0.000388","-10.457","135.406","I Would Die 4 U"
"Nightmares On Wax",225,"0.121","0.0643","0.532","0.853","0.88","-13.443","99.989","Bless My Soul"
"20th Century Steel Band",226,"0.0579","0.0818","0.501","0.674","0.000123","-12.907","107.363","Heaven And Hell Is On Earth"
"Travis Scott",227,"0.0651","0.088","0.617","0.788",0,"-4.516","122.065","Upper Echelon"
"Cloud One",228,"0.0393","0.022","0.857","0.745","0.2","-5.754","115.945","Flying High (Part 1)"
"Grimes",229,"0.0327","0.0719","0.796","0.621","0.187","-6.179","140.012","Go"
"Eric Burdon",230,"0.0716","0.131","0.528","0.818",0,"-10.666","120.368","Spill The Wine"
"Marvin Gaye",231,"0.0401","0.339","0.874","0.856","0.000472","-8.037","122.416","Got To Give It Up (Part 1)"
"Barry White",232,"0.0859","0.069","0.857","0.614",0,"-8.85","85.125","Never Gonna Give You Up"
"Rick Ross",233,"0.0708","0.382","0.527","0.729",0,"-6.338","126.012","Sanctified"
"Ty Segall",234,"0.0451","0.248","0.776","0.42","0.0107","-8.827","114.217","It #1"
"Big Data",235,"0.0386","0.127","0.578","0.757","0.00672","-3.886","102.96","Dangerous (feat. Joywave)"
"Autre Ne Veut",236,"0.0319","0.352","0.538","0.618","1.37E-05","-5.828","79.925","Counting"
"Wet",237,"0.0367","0.14","0.393","0.657","4.03E-05","-7.667","99.946","You're the Best"
"Marcos Valle",238,"0.0765","0.0827","0.495","0.879","0.000333","-10.584","102.652","Estrelar"
"ASTR",239,"0.0324","0.13","0.54","0.496","0.0367","-7.121","131.337","Hold On We're Going Home"
"Blood Orange",240,"0.0428","0.131","0.945","0.742","0.165","-6.445","112.977","Uncle ACE"
"Foxygen",241,"0.0274","0.146","0.65","0.623","0.000913","-7.953","116.74","San Francisco"
"Tove Lo",242,"0.0361","0.0922","0.68","0.736","0.897","-7.036","120.995","Stay High - Habits Remix"
"Jimi Hendrix",243,"0.126","0.294","0.96","0.482","2.43E-06","-5.269","113.263","Crosstown Traffic"
"Open Mike Eagle",244,"0.31","0.356","0.86","0.683","0.000379","-7.317","143.311","Ziggy Starfish (Anxiety Raps) [feat. Gold Panda]"
"Chrome Sparks",245,"0.15","0.353","0.655","0.697","0.774","-9.781","86.969","Marijuana"
"Azizi Gibson",246,"0.114","0.108","0.626","0.631",0,"-7.747","107.007","Crown Violet - Bonus Track"
"D. Gookin",247,"0.0349","0.208","0.722","0.747","0.000519","-7.33","100.215","Glad I Met You"
"Blu",248,"0.283","0.134","0.74","0.569","2.68E-06","-6.235","180.559","Dancing In The Rain"
"Amy Winehouse",249,"0.0616","0.0927","0.832","0.674","5.56E-06","-3.593","102.833","You Know I'm No Good - Ghostface UK Version"
"Grimes",250,"0.036","0.105","0.947","0.578","0.0816","-2.431","134.034","Kill V. Maim"
"James Blake",251,"0.0457","0.109","0.658","0.586","0.368","-9.71","144.933","Life Round Here"
"Ty Dolla $ign",252,"0.179","0.101","0.44","0.756",0,"-9.973","112.14","Sitting Pretty (feat. Wiz Khalifa)"
"Dâm-Funk",253,"0.0373","0.137","0.687","0.723","5.83E-05","-7.019","95.237","Glyde 2nyte (feat. Leon Sylvers III. Leon Sylvers IV)"
"James Pants",254,"0.0315","0.0857","0.645","0.599","0.108","-6.098","141.209","Clouds Over the Pacific"
"Madlib",255,"0.0445","0.0521","0.671","0.586","0.916","-9.787","91.412","Distant Land"
"Parliament",256,"0.0471","0.611","0.802","0.749","0.0499","-6.159","106.077","Flashlight"
"Funkadelic",257,"0.0954","0.0882","0.83","0.689",0,"-8.774","140.732","Can You Get To That"
"Banks",258,"0.0315","0.174","0.331","0.283","0.00489","-7.459","101.797","Better"
"Pretty Sister",259,"0.241","0.1","0.676","0.413",0,"-7.639","71.607","Pony"
"Missy Elliott",260,"0.203","0.0577","0.819","0.932","6.81E-06","-3.484","119.941","WTF (Where They From) [feat. Pharrell Williams]"
"Fetty Wap",261,"0.072","0.329","0.733","0.748",0,"-4.421","93.019","Again"
"Bryson Tiller",262,"0.185","0.135","0.433","0.53",0,"-10.598","160.14","Exchange"
"Bells Atlas",263,"0.0708","0.0781","0.688","0.388","0.00883","-8.407","170.678","Sugar for the Queen"
"Ariel Pink's Haunted Graffiti",264,"0.0404","0.0986","0.703","0.371","0.00186","-7.358","120.599","Symphony of the Nymph"
"New Edition",265,"0.0686","0.314","0.532","0.875","0.0123","-13.265","116.556","Cool It Now"
"Ananda Shankar",266,"0.0307","0.122","0.722","0.523","0.00336","-6.533","129.424","Jumpin' Jack Flash"
